,text,source
0,บิ๊กไบค์เกิดอุบัติเหตุเองใบขับขี่หมด 3 ปี ประกันเคลมมั้ย,pantip
1,รถบิ๊คไบค์เกิดอุบัติเหตุเองใบขับขี่หมด 3 ปี ประกันเคลมมั้ย   แก้ไขข้อความเมื่อ,pantip
2,เป็นนายหน้าประกันวินาศภัยส่งงานเอง กับส่งงานผ่านโบรกเกอร์ แบบไหนดีกว่า?,pantip
3,เพิ่งสอบผ่านการเป็นนายหน้าประกันวินาศภัยมา และกำลังจะเข้ารับการอบรมเพื่อขอใบอนุญาตเป็นนายหน้าฯ แต่ยังไม่รู้ว่าจะส่งงานแบบไหนดี ลองหาข้อมูลในอินเตอร์เน็ต ก็เห็นมีแต่โฆษณาชักชวนให้ส่งผ่านโบรกเกอร์ เลยอยากขอคำแนะนำจากท่านผู้รู้ ว่าควรส่งงานผ่าน บ.ประกันฯโดยตรง หรือผ่านโบรกเกอร์ดี,pantip
4,ประกันรถคอก,pantip
5,สอบถามหน่อยครับ คือวิ่งรถคอก แล้วจะต่อประกันชั้น2+ประกันเจ้า1บอกว่าจะทำแบบไหน รวมคอกด้วย หรือ ไม่เอาคอกคือผมอยากทราบว่ามันทำได้ด้วยหรอครับ แล้วถ้าทำได้มันมี ผลดี ผลเสีย ต่างกันยังไงครับ(รถผมทำชั้น1รวมคอกอันนี้ทำตอนเปลี่ยนสัญญารถ เจ้าหน้าที่บอกต้องรวมคอก เพราะข้อมูลลงไปในเล่มแล้ว)ขอบคุณครับ,pantip
6,ประกันโทรหา แล้วผมตอบตกลงทำประกันไป 2-3 รอบ แต่ผมตัดสายทิ้งก่อน ถือว่าเราได้ทำประกันสำเร็จไปแล้วรึยังครับ,pantip
7,"ตอนแรกมีเบอร์แปลกโทรหาผม แต่ Whocall ไม่แจ้งว่าเบอร์อะไร แต่ผมก็ยังคิดว่าเป็นประกันนะครับแต่พอนานๆเข้า ผ่านมาจะ 3 อาทิตย์ มันโทรมาติดกันทุกวันผมเลยลองรับดูเพราะคิดว่าอาจมีเพื่อนหรือญาติโทรมาเหตุฉุกเฉินอะไรปรากฎว่าเป็น ประกันจริงๆ !! ระหว่างสนทนา ทางประกันก็บันทึกเสียงแล้วผมก็ดันไปตอบ ""ตกลงทำประกัน"" ไป 2-3 รอบแล้วคร่าวนี้ ผมเลยกลั้นใจกดตัดสายทิ้งก่อนแต่เท่าที่ผมฟังก่อนตัดสายทิ้ง เหมือนจะใกล้เสร็จแล้วด้วยแล้วแบบนี้ ถือว่าผมได้ทำประกันสำเร็จไปแล้วหรือยังครับปล.หลังตัดสายทิ้ง ประกันก็โทรกลับมา 2 สาย แต่ผมไม่ได้รับนะครับ",pantip
8,ทุกคนมีความคิดเห็นกันยังไงกับประกันรถยนต์แบบเปิดปิดครับ,pantip
9,ทั้งเรื่องของความคุ้มครองและความคุ้มค่าขอเหตุผลในการตัดสินใจถ้าเลือกซื้อเป็นตัวนี้ครับตอนนี้เห็นมีของไทยวิวัฒน์ที่น่าสนใจ,pantip
10,มารีวิวตารางกรมธรรม์ประกันเดินทาง หัวข้อที่1,pantip
11,หลังจากเจ้าของกระทู้โดนปฎิเสธความคุ้มครองจากบริษัทประกันภัย เจ้าของโพสมีแรงบันดาลใจให้รีวิวกรมธรรม์ความคุ้มครองของ4บริษัทอันนี้ขอรีวิวในหัวข้อ กรณีมารักษาต่อที่ไทยก่อนนะคะแล้วหัวข้ออื่นๆจะตามมาทีหลังรีวิวกรมธรรม์การคุ้มครองแบบหมัดต่อหมัดรีวิวอย่างเป็นธรรมนะคะ 1. AIG ถ้ารักษาจากตทป.มาก่อน มีกำหนดเวลาไม่เกิน7วัน นับจากกลับไทย ถ้าไม่เคยต้องรักษาภายใน2วัน และรักษาต่อเนื่องไม่เกิน5วัน2. MSIG เจ็บป่วยที่ตปท. ต้องเข้ารักษาในไทย ภายใน7วัน หลังจากลงเครื่อง และรักษาต่อเนื่องไม่เกิน 21 วัน3. AXA ต้องรักษาต่างประเทศก่อน และต้องเข้าโรงพยาบาลในไทยภายใน 12 ชั่วโมงหลังจากลงเครื่อง และค่ารักษาในไทย ไม่เกินร้อยละ10 จากเงินเอาประกันภัย หรือ ไม่เกิน7 วัน ดูว่าอย่างไหน น้อยกว่า4. CHUBB ถ้าไม่เคยรักษาที่ตปท.มาก่อน ต้องเข้าภายใน3 วัน แต่ถ้าเคยเข้ารักษาที่ตปท มาแล้ว ต้องเข้ารักษาภายใน21 วัน,pantip
12,เรื่องของประกันการเดินทางไปต่างประเทศ มีความจำเป็นมากน้อยแค่ไหนคะ ถ้าซื้อแบบเปิดปิดจะคุ้มไหม,pantip
13,ใครเคยทำประกันการเดินทางเปิดปิดของไทยวิวัฒน์รบกวนสอบถามถึงเรื่องการสมัครหน่อยค่ะพอดีมีแพลนไปญี่ปุ่นสิงคโปร์และปลายปีอาจจะมียุโรปตอนแรกว่าจะทำของทั่วไปรายปีแต่เหมือนจะไม่คุ้มเลยแอบลังเลควรทำดีมั้ยคะ,pantip
14,ขออนุญาตสอบถามนะคะ,pantip
15,เรื่องประกันการเดินทางต่างประเทศ คือถ้ากำหนดของเราในการพำนักอยู่ต่างประเทศ90วันแต่เราซื้อประกันไป103วัน ได้ไหมคะ หรือต้องซื้อ90วัน ขอบคุณสำหรับคำตอบนะคะ,pantip
16,จะยกเลิกประกันชับบ์สามัคคีที่ผูกกับบัตรเครดิตกรุงศรี,pantip
17,ต้องการยกเลิกประกันชับบ์สามัคคีที่ผูกกับบัตรเครดิตกรุงศรี ต้องทำยังไงค่ะ,pantip
18,มีประกัน AXA อยู่แล้ว ไปต่างประเทศต้องซื้อเพิ่มอีกไหม ?,pantip
19,พอดีมีประกันสุขภาพของ AXA อยู่ 1 ตัวค่ะ อยากทราบว่า หากเราไปเที่ยวต่างประเทศ 1-7วัน ควรจะซื้อประกันตัวอื่นๆเพิ่มอีกไหม หรือควรซื้อประกันอะไรเพิ่มเติมอีกดี เช่น ประกันกระเป๋าหาย ล่าช้า ประกันอุบัติเหตุฉุกเฉิน หรือแค่ AXA ก็ครอบคลุมแล้วคะ?ขอบคุณค่ะ,pantip
20,ประกันการเดินทางที่เบิกไม่ได้,pantip
21,เราเดินทางไปเที่ยวเวียดนามกับบริษัททัวร์เจ้านึง ก่อนเดินทางก็ตัดสินใจซื้อประกันการเดินทางเพิ่มกับบริษัท A… ซึ่งในกรมธรรม์มีระบุเรื่องการรักษาพยาบาลหลังจากกลับประเทศว่าครอบคลุมภายใน 7 วันหลังจากเดินทางกลับได้ 2 วันก็รู้สึกครั่นเนื้อครั่นตัว ไม่ต้องเดาก็รู้ ติดโควิด 2 ขีดไปเลยจ้าเช้านี้เราเลยโทรเข้าคอลเซ็นเตอร์ เค้าแจ้งว่าใช้ไม่ได้ ต้องตรวจเจอตั้งแต่ช่วงที่เดินทาง เราก็เฮ้ย…ก็ติดมาจากช่วงเดินทางซิแล้วฟักตัวไง นี่อะ 3 วันพอดี เค้าก็ไม่ยอมเราก็หงุดหงิดนะ ว่าสรุปซื้อไปทำไม ใช้ไม่ได้เพื่อนๆเคยมีประสบการณ์เคลมประกันแบบนี้บ้างไหม เล่าให้ฟังบ้างได้ไหมว่าต้องทำยังไงเรื่องเคลมไม่ใช่เรื่องใหญ่เพราะเดี๋ยวนี้โควิดสามารถรักษาตามอาการได้ แค่รู้สึกว่าทำไมถึงเคลมไม่ได้มากกว่าจ้ะ,pantip
22,ร้องเรียนประกันการเดินทาง AXA กับ สคบ แทน คปภ ได้ไหมคะ,pantip
23,อ่านรีวิวมาว่า คปภ. ไม่ค่อยเป็นกลางเท่าไหร่แต่เหมือน หน้าที่ดูแลบริษัทประกัน อยู่ที่คปภ.เจ้าหน้าที่คปภ.ก็ได้ส่วนลดเวลาทำประกันรถยนต์อีกด้วยเลยรู้สึกว่า เราอยากร้อง สคบ. มากกว่าได้ไหมคะ,pantip
24,ประกันภัยการเดินทางต่างประเทศแบบเปิดปิดของประกันภัยไทยวิวัฒน์ใครเคยใช้ คุ้มครองยังไง ใช้เอกสารยุ่งยากไหม แนะนำหน่อยค่ะ,pantip
25,เดินทางครั้งแรกค่ะและวางแผนจะเดินทางอีก2ประเทศในปีนี้ไม่มีปสก.เลยไปเจอประกันตัวนี้เห็นว่าซื้อครั้งเดียวภายใน1ปีจะวางแผนเดินทางเมื่อไหร่อีกก็ได้วันเหลือสามารถเก็บไว้ใช้ทริปต่อไปได้เลยคิดว่าน่าสนใจใครเคยใช้ช่วยแนะนำหน่อยถ้าซื้อตัวนี้จะโอเคมั้ย,pantip
